split,well_id,fold,target_rows
train,000d7d20,0,3836
train,015fe0d2,0,4296
train,01869cd4,0,5557
train,03a935ae,0,2786
train,0498acab,0,4798
train,06df5958,0,3509
train,09ec2ca9,0,5885
train,10b89021,0,5414
train,11d0f5ac,0,4883
train,12203f2a,0,3261
train,13ce113d,0,2966
train,15e154a1,0,6068
train,1b08ed48,0,5618
train,1b1eba53,0,4655
train,1beca81d,0,5036
train,203721ab,0,5730
train,264feceb,0,5665
train,28f4eda9,0,5266
train,29b24409,0,5587
train,2b06ad65,0,4256
train,2cee0cba,0,5500
train,2ee0235b,0,5556
train,2f19d536,0,3088
train,3417285d,0,5449
train,3584a6eb,0,4494
train,368fe682,0,4936
train,3690a146,0,4073
train,373ef48b,0,3509
train,39b51819,0,4231
train,3a223519,0,4583
train,3a7dd95d,0,3072
train,3a86fe8d,0,5118
train,3b21ea64,0,7376
train,3bfee975,0,3603
train,3c3dbcbc,0,5069
train,3ef98781,0,3892
train,4121c517,0,3723
train,41fb0192,0,2973
train,43c7f85a,0,5978
train,4654e7de,0,5373
train,46d41ff6,0,7901
train,481de5fc,0,5952
train,48c1f673,0,2917
train,49dbc14c,0,3872
train,4cecf7b3,0,6019
train,504c8b08,0,6367
train,5254b6db,0,3274
train,5397ceb1,0,5255
train,53f23031,0,8550
train,543198e8,0,6503
train,54753541,0,4026
train,58850d2c,0,4995
train,58fa8486,0,4475
train,593876b6,0,4842
train,5cdd8dbc,0,4010
train,61f27424,0,6220
train,65156b96,0,3221
train,6767c111,0,6783
train,699ea575,0,4120
train,69e41fa6,0,5772
train,6d1d74e1,0,5830
train,71ccf778,0,2698
train,7224331b,0,6063
train,739a914f,0,5505
train,74b6186b,0,3405
train,75c20ec7,0,5361
train,7993a768,0,5487
train,7cd4bb31,0,6439
train,7d57c75d,0,4405
train,7ff89f8f,0,7337
train,82aab6d2,0,6140
train,833af382,0,3628
train,85380836,0,6618
train,8612b37f,0,5165
train,861e71df,0,4700
train,87695469,0,7003
train,884ecb5f,0,6724
train,8ac2f237,0,5319
train,8b95d6d1,0,1731
train,8bb9c1e6,0,4546
train,8bda1a11,0,5981
train,8bfa881d,0,4089
train,8d92cb49,0,3589
train,9298ad5b,0,3964
train,93209a3d,0,4697
train,940a48d9,0,3963
train,992c99e8,0,4904
train,995ff498,0,4526
train,9ab94eeb,0,4442
train,9ad5410a,0,4205
train,9d5e14d4,0,5400
train,a056d01e,0,6557
train,a08d9e63,0,3685
train,a4719920,0,5884
train,a48640d9,0,4532
train,a85e4bc3,0,4581
train,a87433c9,0,5721
train,ab112491,0,5185
train,aed44918,0,2719
train,b04b58a3,0,3402
train,b0d42b0d,0,4971
train,b19b0395,0,5813
train,b4d8dd4f,0,4259
train,b56bc0aa,0,5602
train,b585b4fa,0,4294
train,b85f7b06,0,3803
train,bc4381e2,0,4955
train,c03d4aed,0,4641
train,c03fba65,0,3699
train,c07fd0cd,0,4191
train,c47e0767,0,4356
train,c6b782a4,0,4877
train,c70c0e01,0,4312
train,c84c65be,0,8496
train,c8d9680c,0,6281
train,c96c018a,0,6236
train,c9e980e8,0,4359
train,cad13e8f,0,4848
train,cb879f40,0,6315
train,ccedb12b,0,4401
train,ce8399b7,0,1615
train,d114d9c2,0,6206
train,d1ecf309,0,6168
train,d1ee630d,0,6290
train,d24ff243,0,5641
train,d273674e,0,3899
train,d41beaf2,0,4753
train,d463e527,0,4767
train,d60430e6,0,2511
train,d924e971,0,3184
train,d9eca87b,0,6373
train,da940160,0,5132
train,dc5fbe29,0,5203
train,dd168de0,0,3304
train,ddc790ff,0,4726
train,df73b8f3,0,5311
train,e201fd6d,0,5070
train,e32da4ec,0,4689
train,e46f4ef4,0,7195
train,e4726608,0,4733
train,e5864244,0,4469
train,ea3a0e38,0,10052
train,eafb863e,0,3568
train,ebe69318,0,4976
train,edf885a3,0,3117
train,ee288beb,0,4638
train,ef8e3ed0,0,5224
train,f03f10fe,0,4145
train,f074d277,0,2453
train,f6bc699b,0,3752
train,f8afa78a,0,6032
train,fb3848a1,0,5919
train,fc03f21f,0,4803
train,fd3b4faa,0,5022
train,fd710aea,0,4217
train,0390d174,1,4411
train,044af7d1,1,4519
train,052d64df,1,2445
train,0be01c24,1,4738
train,137d1e44,1,4554
train,14a53cb3,1,6919
train,1619e2ca,1,4443
train,19fb4f7b,1,5620
train,1a518997,1,4606
train,1aaf1da0,1,4804
train,201661b5,1,5955
train,206b6193,1,6535
train,22c5f93f,1,5172
train,276b012a,1,4837
train,2ab29395,1,1852
train,2b034622,1,5203
train,2d179ded,1,7008
train,2d35f86d,1,4896
train,2d9f6cb9,1,7338
train,2ddad940,1,5331
train,2e63d9de,1,4699
train,2f8e53c3,1,2594
train,2fe023be,1,4221
train,30d75030,1,3404
train,310c71a5,1,5245
train,3407f5bf,1,3638
train,368131f9,1,4991
train,37d36812,1,4367
train,3ac16ad0,1,5649
train,3df4b19e,1,4988
train,3ef6372a,1,4727
train,3f603129,1,5051
train,42669188,1,4282
train,42c538a1,1,3279
train,43b06c70,1,4846
train,46a301e9,1,8226
train,46d24a09,1,4449
train,4a8ecc0b,1,5809
train,4ed93db6,1,4657
train,4f69febf,1,5460
train,4fbe9c06,1,6287
train,511e1db0,1,3821
train,529e88ca,1,3417
train,54a7e3c2,1,6155
train,5693dde2,1,3488
train,56b00794,1,6065
train,577eec7c,1,4539
train,57f05c51,1,4771
train,591cc951,1,4609
train,5a5269a9,1,6513
train,5a63b5d1,1,6217
train,5aa403d0,1,3118
train,5cb483ac,1,3852
train,5d11dfb5,1,5895
train,5eae34a8,1,4904
train,5f75f796,1,5562
train,5fb1c15f,1,2860
train,5fffa282,1,4201
train,65a5466a,1,4683
train,698930d1,1,4741
train,6ae68655,1,4204
train,6d6d93af,1,3595
train,6ede926a,1,4938
train,7271dd80,1,4340
train,729e9750,1,5919
train,73b1447d,1,5670
train,77e4821c,1,5393
train,7850c72e,1,5497
train,78a4a386,1,5119
train,7987f2f2,1,3705
train,7b2c7b3c,1,2584
train,7bb17b96,1,3922
train,7e208414,1,4226
train,807f0298,1,3747
train,8255c867,1,3589
train,84c3b497,1,5312
train,877ed19c,1,3708
train,87aa3730,1,5607
train,896d15b9,1,4279
train,89969c7a,1,4947
train,8a89da23,1,3935
train,8b12bab6,1,5234
train,8b9d8326,1,6163
train,8c8348e8,1,3888
train,90386ee4,1,3840
train,91db7070,1,4073
train,93f5d2e6,1,3691
