feature,importance_gain,importance_split
known_length,705886852.8324951,2130.4
last_known_Y,511538406.0484131,1164.8
n_rows_in_well,508497312.3292481,1873.2
delta_Z_from_PS,482268584.1387695,1843.6
last_known_TVT,462861272.7482666,1578.8
last_known_MD,409121261.1185791,1362.8
last_known_X,343167541.4158203,855.6
X,335841128.1251709,1821.0
hidden_length,307034772.0385742,1285.2
Y,295533579.14597166,1720.2
last_known_Z,294823631.6667236,1002.8
delta_Y_from_PS,251062215.4724121,1118.8
Z,232298147.18986815,1660.6
delta_X_from_PS,224899071.9104004,1421.8
delta_MD_from_PS,112849691.82941894,820.0
row_frac,78623144.72993164,1112.2
MD,67147804.14799805,886.0
post_ps_step,17498234.784082033,61.8
GR,3749889.462963867,76.0
is_gr_missing,0.0,0.0
