feature,importance_gain,importance_split
dZ_dMD_from_ps,796716150.5161622,1996.8
last_known_Y,367127851.16933596,578.8
known_length,354416335.0336914,850.2
pre_ps_dZ_dMD,344378576.08847654,778.6
pre_ps_tvt_curvature,337736128.41520995,913.8
Y,304283555.91549075,1681.6
X,299494122.4478394,1400.6
pre_ps_tvt_slope_last20,281918352.07475585,779.0
delta_X_from_PS,256582883.79020995,1326.4
delta_Z_from_PS,252505507.04268798,1318.2
pre_ps_tvt_slope_last5,243708722.01242676,385.6
n_rows_in_well,228969567.42617187,789.8
pre_ps_horiz_dMD,199528048.2625122,739.8
last_known_MD,197121826.5484619,522.8
Z,196779133.20585936,1554.6
last_known_TVT,191309651.16665038,679.2
last_known_X,165234150.80947265,338.6
pre_ps_dY_dMD,150081257.21212158,356.0
pre_ps_dX_dMD,146672098.74089354,513.2
last_known_Z,146349770.97504884,412.0
hidden_frac,142969476.64802247,201.8
kh_ratio,141933068.5217163,517.8
delta_Y_from_PS,128251287.72282715,882.4
hidden_length,120961128.93253174,454.2
dX_dMD_from_ps,115705731.30284424,534.8
dY_dMD_from_ps,106715464.50703125,635.8
pre_ps_azimuth,102384366.94809571,182.8
row_frac,99685756.55887452,1172.2
MD,94054341.75756836,1067.4
azimuth_from_ps,90371165.15554199,411.8
delta_MD_from_PS,49974569.22006836,454.6
horiz_disp_from_ps,44883677.1784668,415.8
pre_ps_tvt_delta_last20,32972432.19428711,74.4
post_ps_step,7743432.75913086,89.8
GR,5465188.938232422,61.4
is_gr_missing,851.98798828125,0.2
