feature,importance_gain,importance_split
dZ_dMD_from_ps,797540841.9822388,2298.4
last_known_Y,367250288.63982546,616.6
known_length,354764559.334967,952.8
pre_ps_dZ_dMD,344650198.7781555,866.0
pre_ps_tvt_curvature,338060751.3962952,1013.6
Y,304884151.4441223,1872.0
X,300018304.181604,1571.0
pre_ps_tvt_slope_last20,282196481.07872313,860.0
delta_X_from_PS,257124029.73865357,1499.0
delta_Z_from_PS,253112178.08498535,1521.0
pre_ps_tvt_slope_last5,243817258.66829833,423.0
n_rows_in_well,229283098.30086058,883.8
pre_ps_horiz_dMD,199809850.45319825,818.4
Z,197519320.08363646,1785.0
last_known_MD,197289900.66815186,569.2
last_known_TVT,191538131.58532715,743.0
last_known_X,165322686.87194824,364.6
pre_ps_dY_dMD,150206441.9227112,393.2
pre_ps_dX_dMD,146850020.13568115,566.6
last_known_Z,146453370.5986023,439.0
hidden_frac,143026441.0375,219.6
kh_ratio,142115426.56646118,571.2
delta_Y_from_PS,128664820.34202881,1021.6
hidden_length,121102921.22680053,497.6
dX_dMD_from_ps,115949147.9848816,621.0
dY_dMD_from_ps,106984616.62981567,725.8
pre_ps_azimuth,102427423.71672364,195.6
row_frac,100442695.3918396,1448.8
MD,94707737.2951477,1301.0
azimuth_from_ps,90561344.58870849,476.2
delta_MD_from_PS,50239714.663079835,552.0
horiz_disp_from_ps,45134906.44459839,506.8
pre_ps_tvt_delta_last20,32989537.944299318,79.8
post_ps_step,7773146.630181884,104.2
GR,5478636.709948731,68.0
is_gr_missing,851.98798828125,0.2
