feature,importance_gain,importance_split
dZ_dMD_from_ps,765916056.8056701,1839.4
last_known_Y,364712991.2846314,416.6
pre_ps_dZ_dMD,334666616.0261658,544.4
pre_ps_tvt_curvature,287669985.69373167,648.4
known_length,280436828.91069335,600.8
Y,263719054.0300537,1373.2
X,258325314.60439453,1140.2
delta_X_from_PS,248273183.31671143,1185.4
delta_Z_from_PS,229807018.13447875,1189.6
pre_ps_tvt_slope_last20,229689877.86052856,590.0
pre_ps_tvt_slope_last5,226781303.10493773,288.2
pre_ps_gr_available_frac,190916316.73151857,684.4
n_rows_in_well,186873617.20339355,587.4
Z,172847203.21194458,1344.4
last_known_MD,172017283.8791504,395.6
pre_ps_dX_dMD,160747958.07587892,382.8
last_known_TVT,154406023.33828735,471.0
pre_ps_gr_last20_mean,153749456.2432495,515.8
pre_ps_gr_mean,150520305.0852295,531.4
pre_ps_gr_trend,146954662.58935547,551.6
pre_ps_gr_std,142798609.29943848,519.8
pre_ps_dY_dMD,142582627.78544313,270.8
last_known_X,141508809.29226074,242.0
pre_ps_horiz_dMD,134824554.11130372,473.0
delta_Y_from_PS,121294882.01075439,831.8
hidden_frac,115189336.52137451,160.0
row_frac,102496603.5538147,1149.4
last_known_Z,101684536.30998535,265.4
hidden_length,99935487.06585693,353.4
kh_ratio,96232685.28010865,356.0
dY_dMD_from_ps,93869515.92382812,543.6
MD,86477831.65979615,1033.8
dX_dMD_from_ps,84023092.0493103,453.8
azimuth_from_ps,74119783.25501099,346.4
pre_ps_azimuth,71911400.77280274,151.2
delta_MD_from_PS,49517472.54127197,445.4
horiz_disp_from_ps,45032755.07316895,412.6
pre_ps_tvt_delta_last20,17551639.985913087,48.0
gr_rolling_mean_w50,13160138.73363037,168.8
post_ps_step,10377557.220300293,81.4
gr_rolling_mean_w20,1183542.0341186523,24.8
gr_rolling_std_w20,283626.59454956057,21.4
GR,148919.55234375,3.8
gr_z_score,101719.63194580078,5.6
gr_vs_pre_ps_mean,96407.6789794922,4.0
is_gr_missing,0.0,0.0
