feature,importance_gain,importance_split
dZ_dMD_from_ps,720084185.9091308,3083.2
last_known_Y,309321379.2148193,460.2
pre_ps_dZ_dMD,272339325.17938536,689.2
pre_ps_tvt_curvature,271121706.1438049,798.0
known_length,256571311.57711792,733.0
pre_ps_tvt_slope_last20,247751316.8130768,771.4
delta_X_from_PS,242743374.77187195,2094.2
Y,239987816.67598572,2114.2
X,234093479.74386597,1654.0
delta_Z_from_PS,220635647.0121704,2005.8
tw_gr_scale,193206454.17868653,664.0
pre_ps_tvt_slope_last5,186482600.64957276,331.2
tw_gr_offset,167623073.84145507,673.0
delta_Y_from_PS,156091892.7916748,1554.0
Z,151916782.1718231,2097.6
pre_ps_gr_available_frac,149218189.72269288,784.4
tw_gr_last20_diff,148008142.04986572,665.0
last_known_X,140598756.1470154,281.0
n_rows_in_well,134643341.6904358,740.8
tw_known_gr_corr,129783600.38229065,623.6
tw_gr_abs_slope_at_anchor,120973242.03287658,525.6
pre_ps_dX_dMD,117553486.91672364,449.2
pre_ps_gr_trend,114362885.63447876,602.8
last_known_TVT,113304607.43770751,512.4
last_known_MD,111616843.95166627,427.2
row_frac,107158798.2470459,2210.8
pre_ps_dY_dMD,106712999.17147216,290.2
pre_ps_gr_last20_mean,106329649.15670165,546.0
hidden_frac,104774038.63909301,155.0
pre_ps_gr_std,103260173.61000367,574.0
pre_ps_gr_mean,102432523.91209106,539.2
tw_gr_slope_at_anchor,102193369.66482544,614.2
tw_gr_at_anchor,101958677.73740844,435.8
pre_ps_horiz_dMD,101356152.09002686,581.6
MD,100471943.7737915,1976.0
last_known_Z,84779533.60078125,291.4
kh_ratio,84584097.71967773,435.2
dY_dMD_from_ps,82223501.72067872,905.2
hidden_length,79516721.52773437,403.8
dX_dMD_from_ps,72536535.06154785,775.2
azimuth_from_ps,65406938.54214783,583.4
delta_MD_from_PS,59814172.39675903,893.6
pre_ps_azimuth,55197742.1864624,152.0
horiz_disp_from_ps,49223652.91416626,786.8
pre_ps_tvt_delta_last20,14589930.97064209,66.6
post_ps_step,13923428.495446777,128.8
gr_rolling_mean_w50,10107842.81604309,314.4
gr_rolling_mean_w20,1495646.8340576172,51.2
tw_tvt_correction_reliable,786271.9225463867,15.6
gr_dev_from_tw_anchor,568681.5931884765,20.0
tw_tvt_correction,479144.43604736327,19.4
gr_rolling_std_w20,444091.04970092775,41.8
GR,123562.32539672851,4.6
gr_vs_pre_ps_mean,91323.54907226562,4.2
gr_z_score,58963.87196655273,8.2
tw_gr_extrap_range,0.0,0.0
is_gr_missing,0.0,0.0
