method,w,rmse,delta
mean,101,13.803155017827216,0.005466244547884358
mean,71,13.804374285603217,0.004246976771883126
mean,51,13.805373644159662,0.003247618215437953
savgol,101,13.806243227768084,0.002378034607016133
median,101,13.806471594544403,0.0021496678306967
mean,31,13.806514272155693,0.0021069902194064127
savgol,71,13.806932204029442,0.0016890583456579122
median,71,13.807101831473961,0.0015194309011388185
mean,21,13.807133549328665,0.0014877130464352462
savgol,51,13.807379283611667,0.001241978763433238
mean,15,13.80752329421476,0.0010979681603391356
median,51,13.807780193069126,0.0008410693059737184
mean,11,13.807792396017236,0.0008288663578639444
savgol,31,13.807839597175494,0.0007816651996055413
mean,7,13.808073162471116,0.0005480999039839674
savgol,21,13.808075275934659,0.0005459864404411263
savgol,15,13.808221050238126,0.00040021213697372104
mean,5,13.808221417049488,0.0003998453256119916
median,31,13.808289306797862,0.0003319555772378635
savgol,11,13.80832247356642,0.00029878880867961755
median,21,13.808355351864105,0.00026591051099522645
savgol,7,13.808433214343715,0.00018804803138472437
median,15,13.808447422350199,0.00017384002490139494
savgol,5,13.808501436633053,0.00011982574204694174
median,11,13.808562032984506,5.9229390593884546e-05
median,7,13.808596073151797,2.51892233027462e-05
median,5,13.80862075071158,5.116635204416298e-07
