method,w,rmse,delta
mean,71,13.340425771075164,0.0011725394874098072
mean,101,13.340431653952763,0.0011666566098114117
mean,51,13.34060681112614,0.0009914994364343954
savgol,101,13.340750511175512,0.0008477993870616984
mean,31,13.340922406351364,0.0006759042112101099
savgol,71,13.341025854834015,0.0005724557285589071
mean,21,13.341121807603121,0.00047650295945267374
savgol,51,13.341188771459661,0.0004095391029128592
mean,15,13.341251220655744,0.0003470899068300781
median,51,13.341302488914744,0.0002958216478301523
median,71,13.341335582131256,0.0002627284313181377
mean,11,13.341340578462974,0.0002577320996000054
savgol,31,13.341354766336945,0.00024354422562922196
mean,7,13.341432061002514,0.00016624956005983904
savgol,21,13.341433782235645,0.00016452832692870345
median,31,13.341445972669362,0.00015233789321200675
mean,5,13.341478805185558,0.00011950537701643782
savgol,15,13.341480239340404,0.00011807122217000199
median,101,13.341500982792313,9.732777026094652e-05
savgol,11,13.341511300647577,8.700991499743793e-05
median,21,13.341515312257654,8.299830492042304e-05
savgol,7,13.341544940361295,5.337020127882397e-05
savgol,5,13.341564795191086,3.3515371487879975e-05
median,7,13.341565654004986,3.265655758788455e-05
median,15,13.341572125623838,2.6184938736406593e-05
median,5,13.341573505001028,2.4805561546159538e-05
median,11,13.34158880713334,9.503429234669625e-06
