method,w,rmse,delta
mean,71,13.331210709997148,0.0008615829872145042
mean,51,13.331293238549907,0.0007790544344548067
savgol,101,13.331339695986514,0.0007325969978477787
mean,101,13.331366662403461,0.0007056305809012287
mean,31,13.33151524334789,0.0005570496364715183
savgol,71,13.331576055180678,0.0004962378036843518
mean,21,13.331671109085118,0.0004011838992443728
savgol,51,13.3317141436251,0.00035814935926303804
mean,15,13.331776586881563,0.0002957061027988317
mean,11,13.331851252238499,0.00022104074586337674
savgol,31,13.331858474283377,0.0002138187009848025
median,51,13.331874334542158,0.0001979584422038272
savgol,21,13.331928357141356,0.00014393584300620432
mean,7,13.331929175052432,0.00014311793193044764
median,71,13.331936045473654,0.00013624751070828722
median,31,13.331945176820655,0.00012711616370708612
mean,5,13.331969438533907,0.00010285445045532526
savgol,15,13.331969672264782,0.00010262071958067054
savgol,11,13.331997310214959,7.498276940332005e-05
median,21,13.332004311374197,6.798161016519089e-05
savgol,7,13.33202665077294,4.56422114218924e-05
savgol,5,13.332043689063891,2.8603920471326205e-05
median,7,13.332046116280841,2.6176703521230138e-05
median,5,13.332056623057813,1.566992654922217e-05
median,15,13.332056798749994,1.5494234368418347e-05
median,11,13.332065347515522,6.945468840058311e-06
median,101,13.332159070719763,-8.67777354010002e-05
