method,w,rmse,delta
mean,71,13.32096356472288,0.0008252667782784329
mean,51,13.321038979985163,0.0007498515159962693
savgol,101,13.321070383191419,0.0007184483097404382
mean,101,13.32112396301598,0.0006648684851793263
mean,31,13.321249716492959,0.0005391150082001417
savgol,71,13.321299924489521,0.0004889070116380623
mean,21,13.321400618411046,0.0003882130901136094
savgol,51,13.321445872054914,0.00034295944624496144
mean,15,13.321502698588237,0.00028613291292245435
mean,11,13.321574924716524,0.00021390678463539814
savgol,31,13.3215824684746,0.00020636302655852035
median,51,13.321604178848025,0.00018465265313416523
savgol,21,13.321649842245593,0.0001389892555661021
mean,7,13.321650279430791,0.00013855207036783668
median,31,13.321675711829462,0.00011311967169724824
median,71,13.321683413116563,0.00010541838459587893
mean,5,13.321689107133487,9.972436767213821e-05
savgol,15,13.32168937679137,9.945470978856008e-05
savgol,11,13.321715659921638,7.317157952080322e-05
median,21,13.321725082712824,6.374878833526054e-05
savgol,7,13.321744125701642,4.470579951743048e-05
savgol,5,13.321760810872352,2.802062880746803e-05
median,7,13.321766259271087,2.2572230072626098e-05
median,15,13.321766827722243,2.2003778916257488e-05
median,5,13.32177484914377,1.3982357389252797e-05
median,11,13.321783855123666,4.97637749319324e-06
median,101,13.321962702468399,-0.00017387096723986417
