feature,importance_gain,importance_split
dZ_dMD_from_ps,671045700.8514373,1305.2
last_known_Y,310547261.95708007,273.2
pre_ps_dZ_dMD,237625674.45025024,319.4
known_length,218854601.30473632,338.8
g_plane_local_delta,210023515.66386718,858.2
X,193551336.58594972,621.0
pre_ps_tvt_slope_last5,190754715.50500488,143.0
f_dtvt_dz_r2,175701577.59317628,385.6
pre_ps_tvt_curvature,173529544.67389527,337.8
f_dtvt_dz_pre,169192966.55767822,343.6
f_extrap_quad_dMD,165212504.34274903,731.4
g_plane_choriz,164042750.9119385,417.2
delta_X_from_PS,162362100.89298096,809.6
Y,160267063.62771606,819.4
g_plane_full_delta,156052458.20537108,833.2
g_plane_cz,145020210.95960084,346.2
f_extrap_slope5_dMD,135425467.9996887,593.8
pre_ps_dY_dMD,134230189.2787842,184.8
pre_ps_gr_mean,131104698.97232667,351.4
pre_ps_gr_last20_mean,126634039.1194458,363.2
g_plane_local_r2,119394061.31668702,359.2
pre_ps_tvt_slope_last20,117876583.96486206,221.8
pre_ps_gr_available_frac,117706164.58110352,444.2
last_known_X,110265533.66235352,157.8
Z,109479425.67554931,734.4
n_rows_in_well,108178086.21609497,355.2
last_known_MD,108094652.61322632,226.0
last_known_TVT,106121374.28098755,306.0
pre_ps_dX_dMD,105841333.62998047,238.8
pre_ps_gr_trend,104199938.01917724,354.8
f_extrap_slope20_dMD,92485852.4258728,574.2
g_plane_full_r2,92250725.96964112,338.8
pre_ps_horiz_dMD,90790967.93290405,304.0
delta_Y_from_PS,87623789.27930298,571.0
pre_ps_gr_std,86858643.30604859,310.4
f_extrap_disagree,80487150.17686157,708.8
delta_Z_from_PS,80385723.87193604,480.0
last_known_Z,78916137.1699707,163.6
f_extrap_z,74271447.76170655,441.8
hidden_length,71981132.69367675,227.2
hidden_frac,67379847.95108643,96.0
kh_ratio,64347418.23372803,238.4
g_plane_disagree,62482222.718243405,723.2
dY_dMD_from_ps,61936212.80524902,380.8
azimuth_from_ps,59456066.1421936,243.8
pre_ps_azimuth,54453817.90144043,106.6
row_frac,52769864.16793823,799.8
dX_dMD_from_ps,52089200.74733887,299.6
f_dtvt_dmd_l50,49958496.08879395,161.2
MD,47061716.05617066,680.8
horiz_disp_from_ps,23458061.082562257,261.8
delta_MD_from_PS,20681850.021246336,287.0
pre_ps_tvt_delta_last20,18076839.808862306,22.6
gr_rolling_mean_w50,6025295.610162353,117.8
post_ps_step,4992018.610534668,43.4
gr_rolling_mean_w20,556361.1470153809,16.0
gr_rolling_std_w20,149381.86575927734,14.0
gr_z_score,58494.86403198242,3.6
gr_vs_pre_ps_mean,53293.60830078125,2.0
GR,37454.0042602539,2.0
is_gr_missing,0.0,0.0
